top_k,question_id,question,answer,faithfulness,answer_relevance,context_precision,context_recall,evaluation_time,timestamp
3,test_2633,Как проверить компьютер на вирусы?,Запустите полную проверку через корпоративный антивирус. Если антивируса нет — обратитесь в IT для установки и проверки. Не используйте сторонние антивирусы.,0.631,0.538,0.092,0.183,0.000277,2026-05-12T19:02:39.589568
3,test_2634,Ошибка 'Missing DLL' при запуске.,Переустановите программу. Установите необходимые библиотеки Visual C++ Redistributable. Обновите DirectX. Проверьте антивирусом систему.,0.431,0.289,0.055,0.149,0.000276,2026-05-12T19:02:40.345811
3,test_2307,"Не работает двусторонняя печать, что делать?","При проблемах с двусторонней печатью выполните базовую диагностику: перезапустите приложение или устройство, проверьте подключение. Если это не помогло — создайте заявку в Service Desk с подробным описанием проблемы.",0.822,0.778,0.129,0.216,0.00031,2026-05-12T19:02:41.215455
3,test_2635,Программа работает очень медленно.,"Закройте лишние программы, чтобы освободить ресурсы. Проверьте загрузку CPU и RAM в Диспетчере задач. Если проблема сохраняется — перезапустите программу или обратитесь в IT.",0.476,0.345,0.051,0.146,0.000671,2026-05-12T19:02:42.057640
3,test_2636,Программа не сохраняет файлы.,"Проверьте права доступа к папке сохранения, запустите программу от имени администратора и убедитесь, что на диске есть свободное место.",0.467,0.333,0.051,0.146,0.000269,2026-05-12T19:02:43.707325
3,test_2637,Компьютер медленно загружается.,"Компьютер может долго загружаться по нескольким причинам: много программ в автозагрузке, медленный HDD, мало оперативной памяти, вирусы, фрагментация диска или устаревшие драйверы. 

Попробуйте отключить лишнюю автозагрузку, проверьте компьютер на вирусы и обновите систему.",0.263,0.078,0.028,0.125,0.000131,2026-05-12T19:02:44.701670
3,test_2638,Не работает звук на компьютере.,"Проверьте, не отключён ли звук. Проверьте подключение колонок или наушников. Обновите аудиодрайвер. Также проверьте, правильно ли выбрано устройство воспроизведения по умолчанию.",0.396,0.245,0.071,0.164,0.000262,2026-05-12T19:02:45.593618
3,test_2309,"Не работает цветная печать, что делать?","При проблемах с цветной печатью выполните базовую диагностику: перезапустите приложение или устройство, проверьте подключение. Если не помогло — создайте заявку в Service Desk с подробным описанием проблемы или изучите инструкцию в разделе «Принтеры» корпоративной базы знаний.",0.685,0.606,0.087,0.179,0.000222,2026-05-12T19:02:46.538315
3,test_2639,Потерялись файлы с рабочего стола.,"Проверьте корзину и облачное хранилище OneDrive. Если файлы не найдены, обратитесь в IT-отдел для восстановления из резервной копии.",0.37,0.213,0.051,0.146,0.000134,2026-05-12T19:02:47.399744
3,test_2310,Как решить проблему с настройка vpn?,По вопросу настройки VPN обратитесь в Service Desk или изучите инструкцию в разделе «Сеть» корпоративной базы знаний. Для срочных вопросов звоните на горячую линию IT-поддержки.,0.9,0.875,0.084,0.176,0.000268,2026-05-12T19:02:48.248408
3,test_2313,"Не работает подключение к wi-fi, что делать?","При проблемах с подключением к Wi-Fi выполните базовую диагностику: перезапустите приложение и устройство, проверьте подключение. Если не помогло — создайте заявку в Service Desk с подробным описанием проблемы.",0.852,0.815,0.124,0.212,0.000587,2026-05-12T19:02:49.162051
3,test_2315,"Не работает общий доступ к файлам, что делать?","При проблемах с общим доступом к файлам выполните базовую диагностику: перезапустите приложение или устройство, проверьте подключение. Если не помогло — создайте заявку в Service Desk с подробным описанием проблемы или изучите инструкцию в разделе «Сеть» корпоративной базы знаний.",0.68,0.6,0.156,0.241,0.000137,2026-05-12T19:02:50.349534
3,test_2319,"Не работает dns настройки, что делать?","При проблемах с DNS-настройками выполните базовую диагностику: перезапустите приложение или устройство, проверьте подключение. Если не помогло — создайте заявку в Service Desk с подробным описанием проблемы.",0.872,0.84,0.118,0.206,0.000234,2026-05-12T19:02:51.199980
3,test_2320,Как решить проблему с статический ip?,По вопросу «Статический IP» обратитесь в Service Desk или изучите инструкцию в разделе «Сеть» корпоративной базы знаний. Для срочных вопросов звоните на горячую линию IT-поддержки.,0.9,0.875,0.126,0.213,0.000579,2026-05-12T19:02:52.171195
3,test_2323,"Не работает настройка outlook, что делать?","При проблемах с настройкой Outlook выполните базовую диагностику: перезапустите приложение или устройство, проверьте подключение к интернету. Если проблема не решится, создайте заявку в Service Desk с подробным описанием проблемы.",0.714,0.643,0.096,0.187,0.000297,2026-05-12T19:02:53.057801
3,test_2325,"Не работает правила сортировки, что делать?","При проблемах с «Правила сортировки» выполните базовую диагностику: перезапустите приложение/устройство, проверьте подключение. Если не помогло — создайте заявку в Service Desk с подробным описанием проблемы.",0.933,0.917,0.075,0.167,0.00062,2026-05-12T19:02:53.931297
5,test_2190,"Windows зависает, что делать?","Подождите несколько минут. Если не помогает — нажмите Ctrl+Alt+Del, откройте «Диспетчер задач» и завершите зависшую программу. В крайнем случае — перезагрузка.",0.76,0.7,0.045,0.141,0.000252,2026-05-12T19:02:54.892062
5,test_2608,Как безопасно удалить файлы?,Обычное удаление не стирает данные полностью. Используйте специализированные утилиты для безопасного удаления или обратитесь в IT.,0.418,0.273,0.037,0.133,0.000422,2026-05-12T19:02:55.570803
5,test_2609,Как заказать новое оборудование?,"Чтобы заказать новое оборудование, подайте заявку в Service Desk с указанием необходимого оборудования и обоснованием. После согласования с руководителем IT выдаст оборудование.",0.478,0.347,0.037,0.134,0.000302,2026-05-12T19:02:56.371130
5,test_2610,Как создать общую папку для отдела?,Обратитесь в IT для создания общей папки на файловом сервере или в SharePoint. Укажите список пользователей и права доступа.,0.472,0.34,0.07,0.163,0.000264,2026-05-12T19:02:57.061447
5,test_2611,Не открывается PDF-файл.,Установите Adobe Reader или используйте браузер для открытия PDF. Если файл повреждён — запросите новую копию.,0.435,0.294,0.041,0.136,0.000166,2026-05-12T19:02:57.738071
5,test_2612,Не работает копирование/вставка.,"К сожалению, я не нашел ответа на этот вопрос в базе знаний.",0.247,0.059,0.03,0.127,0.000118,2026-05-12T19:02:58.838625
5,test_2613,Как очистить историю браузера?,"Для очистки истории браузера используйте следующие сочетания клавиш:
* Chrome: Ctrl+H → Очистить историю.
* Firefox: Ctrl+Shift+Del.
* Edge: Ctrl+H → Очистить данные просмотра. 

Затем выберите нужный период и типы данных.",0.457,0.321,0.047,0.142,0.000324,2026-05-12T19:02:59.869694
5,test_2614,Не печатается PDF-файл.,Откройте PDF в Adobe Reader вместо браузера. Обновите драйвер принтера. Попробуйте печать как изображение в настройках принтера.,0.44,0.3,0.03,0.127,0.000175,2026-05-12T19:03:00.674715
5,test_2615,Экран стал черным после обновления.,"Подождите несколько минут — возможно, идёт завершение обновления. Если не помогло — перезагрузите компьютер. Обратитесь в IT при повторении проблемы.",0.426,0.283,0.03,0.127,0.000315,2026-05-12T19:03:01.379320
5,test_2616,CRM работает медленно.,"Проверьте интернет-соединение. Закройте лишние вкладки браузера и очистите кэш браузера. Если проблема не решится, обратитесь в Service Desk, особенно если замедление работы CRM постоянное.",0.355,0.194,0.028,0.125,0.000255,2026-05-12T19:03:02.226205
5,test_2617,Как экспортировать данные из CRM?,"Чтобы экспортировать данные из CRM, откройте нужный раздел (например, «Клиенты», «Сделки», «Задачи»), при необходимости примените фильтры, затем нажмите «Экспорт», выберите формат файла (Excel или CSV), настройте поля для экспорта и сохраните файл. Экспорт больших объёмов данных может занять некоторое время.",0.31,0.137,0.077,0.169,0.000448,2026-05-12T19:03:03.432585
5,test_2618,Забыл пароль от CRM.,Используйте функцию «Забыли пароль?» на странице входа. Введите email и следуйте инструкциям в письме. Или обратитесь в Service Desk для сброса пароля.,0.45,0.312,0.05,0.145,0.000317,2026-05-12T19:03:04.188620
5,test_2619,Как создать правило сортировки писем?,"В Outlook: Главная → Правила → Создать правило. Выберите условия (от кого, тема, ключевые слова) и действия (переместить в папку, пометить, переслать).",0.6,0.5,0.054,0.148,0.000251,2026-05-12T19:03:05.183466
5,test_2620,Как подключить корпоративную почту на телефон?,"Откройте приложение почты, добавьте новую учётную запись, выберите Exchange или Office 365, введите email и пароль. Разрешите настройку устройства, если требуется, и настройте уведомления. 

Или попробуйте такой вариант: Настройки → Почта → Добавить учётную запись → Exchange, введите email и пароль — сервер настроится автоматически. Если нет — обратитесь в IT.",0.448,0.31,0.088,0.179,0.000152,2026-05-12T19:03:06.461569
5,test_2621,Потерял корпоративный телефон.,Немедленно сообщите в Service Desk и службу безопасности! Они заблокируют устройство удалённо. Смените пароли и проверьте последние действия с устройства.,0.296,0.12,0.027,0.124,0.000303,2026-05-12T19:03:07.238724
5,test_2210,Как защитить телефон от взлома?,"Чтобы защитить телефон от взлома, установите PIN-код или биометрическую защиту, не устанавливайте приложения из неизвестных источников, регулярно обновляйте операционную систему и используйте антивирус.",0.617,0.522,0.085,0.176,0.000266,2026-05-12T19:03:08.079551
5,test_2622,Телефон не синхронизирует контакты.,Проверьте настройки синхронизации в учётной записи Exchange. Включите синхронизацию контактов и переподключите учётную запись.,0.345,0.182,0.031,0.128,0.000341,2026-05-12T19:03:08.747717
5,test_2623,Не видны другие компьютеры в сети.,"Проверьте, что все ПК находятся в одной рабочей группе. Включите обнаружение сети и общий доступ к файлам в Центре управления сетями.",0.449,0.311,0.032,0.129,0.000295,2026-05-12T19:03:09.529819
5,test_2220,Как сообщить о проблеме с безопасностью?,Используйте форму «Сообщить об инциденте безопасности» на портале Service Desk или позвоните на горячую линию IT-безопасности.,0.893,0.867,0.103,0.193,0.000288,2026-05-12T19:03:10.260956
5,test_2624,Медленный интернет.,"Проверьте скорость интернета через speedtest.net. Закройте программы, использующие трафик (торренты, обновления). Проверьте, не перегружена ли сеть в офисе.",0.467,0.333,0.007,0.107,0.000154,2026-05-12T19:03:11.148907
5,test_2625,Как настроить общий доступ к папке в сети?,"Правой кнопкой мыши нажмите на папку, выберите «Свойства», затем «Доступ», далее «Расширенная настройка» и «Открыть общий доступ». Настройте разрешения для пользователей.",0.331,0.164,0.114,0.202,0.000278,2026-05-12T19:03:11.963409
5,test_2241,"Не открывается сайт, ошибка 404.","Проверьте правильность URL. Очистите кэш браузера. Попробуйте другой браузер. Если сайт недоступен у всех — возможно, он удалён или перемещён.",0.88,0.85,0.044,0.14,0.000663,2026-05-12T19:03:13.123212
5,test_2626,Какие часы работы IT-поддержки?,IT-поддержка работает с 9:00 до 18:00 в рабочие дни. В экстренных случаях доступна горячая линия 24/7. Номер указан на портале Service Desk.,0.458,0.323,0.015,0.114,0.000443,2026-05-12T19:03:14.103220
5,test_2627,Можно ли хранить рабочие файлы в личном облаке?,"Хранение корпоративных данных в личных облачных хранилищах запрещено. Используйте только корпоративные ресурсы, такие как OneDrive или SharePoint.",0.392,0.24,0.055,0.149,0.000278,2026-05-12T19:03:14.776411
5,test_2300,Как решить проблему с замена картриджа?,По вопросу замены картриджа обратитесь в Service Desk или изучите инструкцию в разделе «Принтеры» корпоративной базы знаний. Для срочных вопросов звоните на горячую линию IT-поддержки.,0.9,0.875,0.1,0.19,0.000244,2026-05-12T19:03:15.746556
5,test_2302,Как решить проблему с настройка сканирования?,По вопросу настройки сканирования обратитесь в Service Desk или изучите инструкцию в разделе «Принтеры» корпоративной базы знаний. Для срочных вопросов звоните на горячую линию IT-поддержки.,0.9,0.875,0.087,0.179,0.000154,2026-05-12T19:03:16.630867
5,test_2628,Какие устройства разрешены для работы?,"Только устройства, одобренные IT-отделом и соответствующие требованиям безопасности, разрешены для работы. Список таких устройств доступен на корпоративном портале.",0.4,0.25,0.047,0.142,0.000126,2026-05-12T19:03:17.379114
5,test_2629,Печать идет медленно.,"Чтобы ускорить печать, попробуйте уменьшить качество печати в свойствах принтера (выберите «черновик» вместо «высокого качества»). Также проверьте, не печатает ли кто-то другой большие документы, и обновите драйвер принтера.",0.434,0.293,0.01,0.109,0.000258,2026-05-12T19:03:18.374296
5,test_2304,Как решить проблему с сетевая печать?,"По вопросу «Сетевая печать» обратитесь в Service Desk или изучите инструкцию в разделе «Принтеры» корпоративной базы знаний. Для срочных вопросов звоните на горячую линию IT-поддержки.

Также можно выполнить базовую диагностику: перезапустите приложение/устройство, проверьте подключение. Если не помогло — создайте заявку в Service Desk с подробным описанием проблемы.",0.591,0.488,0.119,0.207,0.000397,2026-05-12T19:03:19.656656
5,test_2630,Ошибка 'Driver unavailable' при печати.,"Скачайте актуальный драйвер с сайта производителя принтера. Удалите старый драйвер через Диспетчер устройств, затем установите новый.",0.414,0.268,0.029,0.126,0.000296,2026-05-12T19:03:20.310596
5,test_2631,Почему нужно менять пароль раз в 90 дней?,Это требование политики информационной безопасности для снижения риска взлома и несанкционированного доступа к системам.,0.415,0.269,0.079,0.171,0.000298,2026-05-12T19:03:21.017907
5,test_2632,"Получил подозрительное письмо, что делать?",Не открывайте вложения и ссылки из подозрительного письма. Не отвечайте на него. Перешлите письмо в IT-отдел с пометкой «Фишинг» и удалите его после проверки.,0.393,0.241,0.024,0.121,0.000174,2026-05-12T19:03:21.929832
5,test_2305,"Не работает сетевая печать, что делать?","При проблемах с сетевой печатью выполните базовую диагностику: перезапустите приложение или устройство и проверьте подключение. Если это не помогло, создайте заявку в Service Desk с подробным описанием проблемы.",0.763,0.704,0.117,0.205,0.0003,2026-05-12T19:03:22.783816
5,test_2596,Сколько места нужно для Windows?,Minimum 64 GB for Windows 10/11. Realistic: 128 GB SSD minimum for comfortable use. Recommended: 256 GB+ for OS + programs. Keep 15–20% free space for performance.,0.694,0.618,0.055,0.149,0.000256,2026-05-12T19:03:23.928629
5,test_2633,Как проверить компьютер на вирусы?,Запустите полную проверку через корпоративный антивирус. Если антивируса нет — обратитесь в IT для установки и проверки. Не используйте сторонние антивирусы.,0.631,0.538,0.066,0.159,0.000173,2026-05-12T19:03:24.664789
5,test_2634,Ошибка 'Missing DLL' при запуске.,Переустановите программу. Установите необходимые библиотеки Visual C++ Redistributable. Обновите DirectX. Проверьте систему антивирусом.,0.396,0.244,0.033,0.13,0.000128,2026-05-12T19:03:25.346563
5,test_2307,"Не работает двусторонняя печать, что делать?","При проблемах с двусторонней печатью выполните базовую диагностику: перезапустите приложение и устройство, проверьте подключение. Если не помогло — создайте заявку в Service Desk с подробным описанием проблемы.",0.846,0.808,0.109,0.199,0.000263,2026-05-12T19:03:26.533955
5,test_2635,Программа работает очень медленно.,Закройте лишние программы. Проверьте загрузку CPU и RAM в Диспетчере задач. Перезапустите программу. Если проблема сохраняется — обратитесь в IT.,0.476,0.345,0.044,0.139,0.000179,2026-05-12T19:03:27.350470
5,test_2636,Программа не сохраняет файлы.,"Проверьте права доступа к папке сохранения. Запустите программу от имени администратора. Проверьте, есть ли свободное место на диске.",0.6,0.5,0.034,0.13,0.00033,2026-05-12T19:03:28.143086
5,test_2637,Компьютер медленно загружается.,"Чтобы ускорить загрузку компьютера, выполните следующие действия: отключите лишние программы в автозагрузке, проверьте диск на ошибки, рассмотрите возможность увеличения объёма RAM или замены HDD на SSD.",0.338,0.172,0.026,0.123,0.000287,2026-05-12T19:03:28.908993
5,test_2638,Не работает звук на компьютере.,"Проверьте, не отключён ли звук. Проверьте подключение колонок или наушников. Обновите аудиодрайвер. Также проверьте устройство воспроизведения по умолчанию.",0.396,0.245,0.07,0.163,0.000173,2026-05-12T19:03:29.920055
5,test_2309,"Не работает цветная печать, что делать?","При проблемах с цветной печатью выполните базовую диагностику: перезапустите приложение или устройство, проверьте подключение. Если не помогло — создайте заявку в Service Desk с подробным описанием проблемы.",0.846,0.808,0.117,0.205,0.000118,2026-05-12T19:03:30.892396
5,test_2639,Потерялись файлы с рабочего стола.,"Проверьте корзину и OneDrive или другое облачное хранилище. Если файлы не найдены, обратитесь в IT-отдел для восстановления из резервной копии.",0.387,0.234,0.036,0.133,0.000241,2026-05-12T19:03:31.629335
5,test_2310,Как решить проблему с настройка vpn?,По вопросу «Настройка VPN» обратитесь в Service Desk или изучите инструкцию в разделе «Сеть» корпоративной базы знаний. Для срочных вопросов звоните на горячую линию IT-поддержки.,0.9,0.875,0.107,0.196,0.000158,2026-05-12T19:03:32.404639
5,test_2313,"Не работает подключение к wi-fi, что делать?","При проблемах с подключением к Wi-Fi выполните базовую диагностику: перезапустите приложение или устройство, проверьте подключение. Если не помогло — создайте заявку в Service Desk с подробным описанием проблемы.",0.852,0.815,0.081,0.173,0.000301,2026-05-12T19:03:33.223293
5,test_2315,"Не работает общий доступ к файлам, что делать?","При проблемах с общим доступом к файлам выполните базовую диагностику: перезапустите приложение или устройство, проверьте подключение. Если не помогло — создайте заявку в Service Desk с подробным описанием проблемы.",0.829,0.786,0.114,0.203,0.000688,2026-05-12T19:03:34.024721
5,test_2319,"Не работает dns настройки, что делать?","При проблемах с DNS-настройками выполните базовую диагностику: перезапустите приложение или устройство, проверьте подключение. Если не помогло — создайте заявку в Service Desk с подробным описанием проблемы.",0.872,0.84,0.097,0.187,0.000163,2026-05-12T19:03:34.994691
5,test_2320,Как решить проблему с статический ip?,"По вопросу «Статический IP» обратитесь в Service Desk или изучите инструкцию в разделе «Сеть» корпоративной базы знаний. Для срочных вопросов звоните на горячую линию IT-поддержки. 

Также вы можете выполнить базовую диагностику: перезапустите приложение/устройство, проверьте подключение. Если не помогло — создайте заявку в Service Desk с подробным описанием проблемы.",0.582,0.477,0.125,0.213,0.000754,2026-05-12T19:03:36.351767
5,test_2323,"Не работает настройка outlook, что делать?","При проблемах с настройкой Outlook выполните базовую диагностику: перезапустите приложение или устройство, проверьте подключение к интернету. Если не помогло — создайте заявку в Service Desk с подробным описанием проблемы.",0.771,0.714,0.084,0.176,0.000649,2026-05-12T19:03:37.167640
5,test_2325,"Не работает правила сортировки, что делать?","При проблемах с «Правила сортировки» выполните базовую диагностику: перезапустите приложение/устройство, проверьте подключение. Если не помогло — создайте заявку в Service Desk с подробным описанием проблемы.",0.933,0.917,0.077,0.169,0.00015,2026-05-12T19:03:38.071284
10,test_2190,"Windows зависает, что делать?","Подождите несколько минут. Если не помогает — нажмите Ctrl+Alt+Del, откройте «Диспетчер задач» и завершите зависшую программу. В крайнем случае — перезагрузка.",0.76,0.7,0.032,0.129,0.000805,2026-05-12T19:03:38.930185
10,test_2608,Как безопасно удалить файлы?,Обычное удаление не стирает данные полностью. Используйте специализированные утилиты для безопасного удаления или обратитесь в IT.,0.418,0.273,0.038,0.135,0.000811,2026-05-12T19:03:39.736054
10,test_2609,Как заказать новое оборудование?,"Чтобы заказать новое оборудование, подайте заявку в Service Desk с указанием необходимого оборудования и обоснованием. После согласования с руководителем IT выдаст оборудование.",0.478,0.347,0.031,0.128,0.000459,2026-05-12T19:03:40.556336
10,test_2610,Как создать общую папку для отдела?,Обратитесь в IT для создания общей папки на файловом сервере или в SharePoint. Укажите список пользователей и права доступа.,0.472,0.34,0.066,0.159,0.000344,2026-05-12T19:03:41.307153
