top_k,question_id,question,answer,faithfulness,answer_relevance,context_precision,context_recall,evaluation_time,timestamp
3,test_2621,Потерял корпоративный телефон.,"Немедленно сообщите в Service Desk и службу безопасности, чтобы они могли заблокировать устройство удалённо. Также рекомендуется сменить пароли и проверить последние действия с устройства.",0.28,0.1,0.039,0.135,0.000238,2026-05-12T18:38:34.542110
3,test_2210,Как защитить телефон от взлома?,"Чтобы защитить телефон от взлома, выполните следующие действия: установите PIN-код или биометрическую защиту, не устанавливайте приложения из неизвестных источников, регулярно обновляйте операционную систему и используйте антивирус.",0.569,0.462,0.135,0.222,0.000311,2026-05-12T18:38:35.414693
3,test_2622,Телефон не синхронизирует контакты.,Проверьте настройки синхронизации в учётной записи Exchange. Включите синхронизацию контактов и переподключите учётную запись.,0.345,0.182,0.035,0.132,0.000625,2026-05-12T18:38:36.014178
3,test_2623,Не видны другие компьютеры в сети.,"Проверьте, что все ПК в одной рабочей группе. Включите обнаружение сети и общий доступ к файлам в Центре управления сетями.",0.449,0.311,0.03,0.127,0.000294,2026-05-12T18:38:37.058221
3,test_2220,Как сообщить о проблеме с безопасностью?,Используйте форму «Сообщить об инциденте безопасности» на портале Service Desk или позвоните на горячую линию IT-безопасности.,0.893,0.867,0.129,0.216,0.000114,2026-05-12T18:38:37.755016
3,test_2624,Медленный интернет.,"Проверьте скорость интернета через speedtest.net. Закройте программы, использующие трафик (торренты, обновления). Проверьте, не перегружена ли сеть в офисе.",0.467,0.333,0.012,0.111,0.000293,2026-05-12T18:38:38.603773
3,test_2625,Как настроить общий доступ к папке в сети?,"Правой кнопкой мыши нажмите на папку, затем выберите «Свойства» → «Доступ» → «Расширенная настройка» → «Открыть общий доступ». Настройте разрешения для пользователей.",0.331,0.164,0.122,0.21,0.000264,2026-05-12T18:38:39.379709
3,test_2241,"Не открывается сайт, ошибка 404.","Проверьте правильность URL. Очистите кэш браузера. Попробуйте открыть сайт в другом браузере. Если сайт недоступен у всех — возможно, он удалён или перемещён.",0.745,0.682,0.062,0.156,0.000106,2026-05-12T18:38:40.097382
3,test_2626,Какие часы работы IT-поддержки?,IT-поддержка работает с 9:00 до 18:00 в рабочие дни. В экстренных случаях доступна горячая линия 24/7. Номер указан на портале Service Desk.,0.458,0.323,0.025,0.123,0.000291,2026-05-12T18:38:40.961553
3,test_2627,Можно ли хранить рабочие файлы в личном облаке?,"Хранение рабочих файлов в личном облаке запрещено. Используйте для этого корпоративные ресурсы, такие как OneDrive или SharePoint.",0.296,0.12,0.076,0.168,0.000253,2026-05-12T18:38:41.627461
3,test_2300,Как решить проблему с замена картриджа?,По вопросу замены картриджа обратитесь в Service Desk или изучите инструкцию в разделе «Принтеры» корпоративной базы знаний. Для срочных вопросов звоните на горячую линию IT-поддержки.,0.9,0.875,0.084,0.176,0.000334,2026-05-12T18:38:42.522886
3,test_2302,Как решить проблему с настройка сканирования?,По вопросу настройки сканирования обратитесь в Service Desk или изучите инструкцию в разделе «Принтеры» корпоративной базы знаний. Для срочных вопросов звоните на горячую линию IT-поддержки.,0.9,0.875,0.084,0.176,0.000701,2026-05-12T18:38:43.508682
3,test_2628,Какие устройства разрешены для работы?,"Только устройства, одобренные IT-отделом и соответствующие требованиям безопасности, разрешены для работы. Список таких устройств доступен на корпоративном портале.",0.4,0.25,0.063,0.157,0.000626,2026-05-12T18:38:44.331503
3,test_2629,Печать идет медленно.,"Чтобы ускорить печать, попробуйте уменьшить качество печати в свойствах принтера, выбрав режим «черновик» вместо «высокого качества». Также проверьте, не печатает ли кто-то другой большие документы, и обновите драйвер принтера.",0.421,0.276,0.016,0.115,0.00026,2026-05-12T18:38:45.394333
3,test_2304,Как решить проблему с сетевая печать?,"По вопросу «Сетевая печать» обратитесь в Service Desk или изучите инструкцию в разделе «Принтеры» корпоративной базы знаний. Для срочных вопросов звоните на горячую линию IT-поддержки.

Также выполните базовую диагностику: перезапустите приложение/устройство, проверьте подключение. Если не помогло — создайте заявку в Service Desk с подробным описанием проблемы.",0.6,0.5,0.136,0.222,0.000113,2026-05-12T18:38:46.846974
3,test_2630,Ошибка 'Driver unavailable' при печати.,"Скачайте актуальный драйвер с сайта производителя принтера. Удалите старый драйвер через Диспетчер устройств, затем установите новый.",0.414,0.268,0.038,0.134,0.00024,2026-05-12T18:38:47.569555
5,test_2190,"Windows зависает, что делать?","Подождите несколько минут. Если не помогает — нажмите Ctrl+Alt+Del, откройте «Диспетчер задач» и завершите зависшую программу. В крайнем случае — перезагрузите компьютер.",0.695,0.619,0.045,0.141,0.000175,2026-05-12T18:38:48.425671
5,test_2608,Как безопасно удалить файлы?,Обычное удаление не стирает данные полностью. Используйте специализированные утилиты для безопасного удаления или обратитесь в IT.,0.418,0.273,0.037,0.133,0.000301,2026-05-12T18:38:49.162814
5,test_2609,Как заказать новое оборудование?,"Чтобы заказать новое оборудование, подайте заявку в Service Desk с указанием необходимого оборудования и обоснованием. После согласования с руководителем IT выдаст оборудование.",0.478,0.347,0.037,0.134,0.000267,2026-05-12T18:38:49.982004
5,test_2610,Как создать общую папку для отдела?,Обратитесь в IT для создания общей папки на файловом сервере или в SharePoint. Укажите список пользователей и права доступа.,0.472,0.34,0.07,0.163,0.00034,2026-05-12T18:38:50.682378
5,test_2611,Не открывается PDF-файл.,Установите Adobe Reader или используйте браузер для открытия PDF. Если файл повреждён — запросите новую копию.,0.435,0.294,0.041,0.136,0.000277,2026-05-12T18:38:51.371314
5,test_2612,Не работает копирование/вставка.,"К сожалению, я не нашел ответа на этот вопрос в базе знаний.",0.247,0.059,0.03,0.127,0.000247,2026-05-12T18:38:52.783404
5,test_2613,Как очистить историю браузера?,"Чтобы очистить историю браузера, выполните следующие действия:
- В Chrome: нажмите Ctrl+H и выберите «Очистить историю».
- В Firefox: нажмите Ctrl+Shift+Del.
- В Edge: нажмите Ctrl+H и выберите «Очистить данные просмотра». Затем выберите период и типы данных, которые хотите удалить.",0.381,0.226,0.047,0.142,0.000187,2026-05-12T18:38:54.116916
5,test_2614,Не печатается PDF-файл.,Откройте PDF в Adobe Reader вместо браузера. Обновите драйвер принтера. Попробуйте печать как изображение в настройках принтера.,0.44,0.3,0.03,0.127,0.000122,2026-05-12T18:38:54.854469
5,test_2615,Экран стал черным после обновления.,"Подождите несколько минут — возможно, идёт завершение обновления. Если не помогло — перезагрузите компьютер. Обратитесь в IT при повторении проблемы.",0.426,0.283,0.03,0.127,0.000253,2026-05-12T18:38:55.747472
5,test_2616,CRM работает медленно.,"Проверьте интернет-соединение. Закройте лишние вкладки браузера и очистите кэш браузера. Если проблема не решится, обратитесь в Service Desk, особенно если замедление работы CRM постоянное.",0.355,0.194,0.028,0.125,0.000154,2026-05-12T18:38:56.626000
5,test_2617,Как экспортировать данные из CRM?,"Чтобы экспортировать данные из CRM, откройте нужный раздел (например, клиенты, сделки, задачи), примените фильтры, если нужно, затем нажмите «Экспорт», выберите формат файла (Excel или CSV), настройте поля для экспорта и сохраните файл. Большие объёмы данных могут экспортироваться долго.",0.294,0.118,0.077,0.169,0.000299,2026-05-12T18:38:57.686075
5,test_2618,Забыл пароль от CRM.,Используйте функцию «Забыли пароль?» на странице входа. Введите email и следуйте инструкциям в письме. Также вы можете обратиться в Service Desk для сброса пароля.,0.417,0.271,0.05,0.145,0.000271,2026-05-12T18:38:58.445009
5,test_2619,Как создать правило сортировки писем?,"В Outlook: Главная → Правила → Создать правило. Выберите условия (от кого, тема, ключевые слова) и действия (переместить в папку, пометить, переслать).",0.6,0.5,0.054,0.148,0.000177,2026-05-12T18:38:59.514892
5,test_2620,Как подключить корпоративную почту на телефон?,"Откройте приложение почты. Добавьте новую учётную запись, выберите Exchange или Office 365. Введите email и пароль, разрешите настройку устройства, если требуется. Почта начнёт синхронизироваться.",0.269,0.086,0.088,0.179,0.00015,2026-05-12T18:39:00.445123
5,test_2621,Потерял корпоративный телефон.,Немедленно сообщите в Service Desk и службу безопасности или в IT-отдел! Они заблокируют устройство и удалят корпоративные данные удалённо. Смените пароли.,0.296,0.12,0.027,0.124,0.00033,2026-05-12T18:39:01.319827
5,test_2210,Как защитить телефон от взлома?,"Чтобы защитить телефон от взлома, выполните следующие действия: установите PIN-код или биометрическую защиту, не устанавливайте приложения из неизвестных источников, регулярно обновляйте операционную систему и используйте антивирус.",0.569,0.462,0.085,0.176,0.000355,2026-05-12T18:39:02.268599
5,test_2622,Телефон не синхронизирует контакты.,Проверьте настройки синхронизации в учётной записи Exchange. Включите синхронизацию контактов и переподключите учётную запись.,0.345,0.182,0.031,0.128,0.000317,2026-05-12T18:39:02.950514
5,test_2623,Не видны другие компьютеры в сети.,"Проверьте, что все ПК находятся в одной рабочей группе. Включите обнаружение сети и общий доступ к файлам в Центре управления сетями.",0.449,0.311,0.032,0.129,0.000702,2026-05-12T18:39:03.758870
5,test_2220,Как сообщить о проблеме с безопасностью?,Используйте форму «Сообщить об инциденте безопасности» на портале Service Desk или позвоните на горячую линию IT-безопасности.,0.893,0.867,0.103,0.193,0.000134,2026-05-12T18:39:04.464700
5,test_2624,Медленный интернет.,"Проверьте скорость интернета через speedtest.net. Закройте программы, которые используют трафик (например, торренты или обновления). Также возможно, что сеть перегружена в офисе.",0.42,0.275,0.007,0.107,0.000125,2026-05-12T18:39:05.272707
5,test_2625,Как настроить общий доступ к папке в сети?,"Правой кнопкой мыши нажмите на папку, выберите «Свойства», затем перейдите в раздел «Доступ» и «Расширенная настройка», после чего нажмите «Открыть общий доступ». Настройте разрешения для пользователей.",0.345,0.182,0.114,0.202,0.000318,2026-05-12T18:39:06.143198
5,test_2241,"Не открывается сайт, ошибка 404.","Проверьте правильность URL. Очистите кэш браузера. Попробуйте открыть сайт в другом браузере. Если сайт недоступен у всех — возможно, он удалён или перемещён.",0.745,0.682,0.044,0.14,0.000148,2026-05-12T18:39:07.071620
5,test_2626,Какие часы работы IT-поддержки?,IT-поддержка работает с 9:00 до 18:00 в рабочие дни. В экстренных случаях доступна горячая линия 24/7. Номер указан на портале Service Desk.,0.458,0.323,0.015,0.114,0.000188,2026-05-12T18:39:07.968874
5,test_2627,Можно ли хранить рабочие файлы в личном облаке?,"Хранение рабочих файлов в личном облаке запрещено. Используйте только корпоративные ресурсы, такие как OneDrive или SharePoint.",0.312,0.14,0.055,0.149,0.000246,2026-05-12T18:39:08.650622
5,test_2300,Как решить проблему с замена картриджа?,По вопросу замены картриджа обратитесь в Service Desk или изучите инструкцию в разделе «Принтеры» корпоративной базы знаний. Для срочных вопросов звоните на горячую линию IT-поддержки.,0.9,0.875,0.1,0.19,0.000146,2026-05-12T18:39:09.573587
5,test_2302,Как решить проблему с настройка сканирования?,По вопросу настройки сканирования обратитесь в Service Desk или изучите инструкцию в разделе «Принтеры» корпоративной базы знаний. Для срочных вопросов звоните на горячую линию IT-поддержки.,0.9,0.875,0.087,0.179,0.000289,2026-05-12T18:39:10.393164
5,test_2628,Какие устройства разрешены для работы?,"Только устройства, одобренные IT-отделом и соответствующие требованиям безопасности, разрешены для работы. Список доступных устройств можно найти на корпоративном портале.",0.383,0.229,0.047,0.142,0.000258,2026-05-12T18:39:11.169413
5,test_2629,Печать идет медленно.,"Чтобы ускорить печать, уменьшите качество печати в свойствах принтера (выберите «черновик» вместо «высокого качества»). Также проверьте, не печатает ли кто-то другой большие документы, и обновите драйвер принтера.",0.448,0.31,0.01,0.109,0.000179,2026-05-12T18:39:12.297883
5,test_2304,Как решить проблему с сетевая печать?,"По вопросу «Сетевая печать» обратитесь в Service Desk или изучите инструкцию в разделе «Принтеры» корпоративной базы знаний. Для срочных вопросов звоните на горячую линию IT-поддержки.

Также можно выполнить базовую диагностику: перезапустите приложение/устройство, проверьте подключение. Если не помогло — создайте заявку в Service Desk с подробным описанием проблемы.",0.591,0.488,0.119,0.207,0.000111,2026-05-12T18:39:13.639697
5,test_2630,Ошибка 'Driver unavailable' при печати.,"Скачайте актуальный драйвер с сайта производителя принтера. Удалите старый драйвер через Диспетчер устройств, затем установите новый.",0.414,0.268,0.029,0.126,0.000255,2026-05-12T18:39:14.603275
10,test_2190,"Windows зависает, что делать?","Подождите несколько минут. Если не помогает — нажмите Ctrl+Alt+Del, откройте «Диспетчер задач» и завершите зависшую программу. В крайнем случае — перезагрузите компьютер.",0.695,0.619,0.032,0.129,0.000238,2026-05-12T18:39:15.467581
10,test_2608,Как безопасно удалить файлы?,Обычное удаление не стирает данные полностью. Используйте специализированные утилиты для безопасного удаления или обратитесь в IT-отдел.,0.404,0.255,0.038,0.135,0.000473,2026-05-12T18:39:16.290332
10,test_2609,Как заказать новое оборудование?,"Чтобы заказать новое оборудование, подайте заявку в Service Desk с указанием необходимого оборудования и обоснованием. После согласования с руководителем IT выдаст оборудование.",0.478,0.347,0.031,0.128,0.000802,2026-05-12T18:39:17.066636
10,test_2610,Как создать общую папку для отдела?,Обратитесь в IT для создания общей папки на файловом сервере или в SharePoint. Укажите список пользователей и права доступа.,0.472,0.34,0.066,0.159,0.000194,2026-05-12T18:39:17.848599
10,test_2611,Не открывается PDF-файл.,Установите Adobe Reader или используйте браузер для открытия PDF. Если файл повреждён — запросите новую копию.,0.435,0.294,0.028,0.125,0.000384,2026-05-12T18:39:18.518701
10,test_2612,Не работает копирование/вставка.,"Проверьте, не блокирует ли операцию антивирус. Перезапустите проводник Windows через Диспетчер задач. Проверьте работу в других программах.",0.467,0.333,0.027,0.124,0.000807,2026-05-12T18:39:19.305109
10,test_2613,Как очистить историю браузера?,"Чтобы очистить историю браузера, выполните следующие действия:
- В Chrome: нажмите Ctrl+H, затем выберите «Очистить историю».
- В Firefox: нажмите Ctrl+Shift+Del.
- В Edge: нажмите Ctrl+H, затем выберите «Очистить данные просмотра». Не забудьте выбрать период и типы данных, которые хотите удалить.",0.366,0.208,0.041,0.137,0.000565,2026-05-12T18:39:20.678645
10,test_2614,Не печатается PDF-файл.,Откройте PDF в Adobe Reader вместо браузера. Обновите драйвер принтера. Попробуйте печать как изображение в настройках принтера.,0.44,0.3,0.024,0.122,0.000326,2026-05-12T18:39:21.400046
10,test_2615,Экран стал черным после обновления.,"Подождите несколько минут — возможно, идёт завершение обновления. Если не помогло — перезагрузите компьютер. Обратитесь в IT при повторении проблемы.",0.426,0.283,0.022,0.12,0.00031,2026-05-12T18:39:22.333201
10,test_2616,CRM работает медленно.,"Проверьте интернет-соединение. Закройте лишние вкладки браузера и очистите кэш. Если проблема не решится, обратитесь в Service Desk, особенно если замедление постоянное.",0.316,0.145,0.023,0.12,0.000428,2026-05-12T18:39:23.157532
10,test_2617,Как экспортировать данные из CRM?,"Чтобы экспортировать данные из CRM, выполните следующие шаги:

1. Откройте нужный раздел (клиенты, сделки, задачи).
2. Примените фильтры, если нужно.
3. Нажмите «Экспорт», выберите формат (Excel, CSV) и настройте поля для экспорта.
4. Сохраните файл. 

Большие объёмы данных могут экспортироваться долго.",0.31,0.137,0.063,0.156,0.000905,2026-05-12T18:39:24.412422
10,test_2618,Забыл пароль от CRM.,Используйте функцию «Забыли пароль?» на странице входа. Введите email и следуйте инструкциям в письме. Или обратитесь в Service Desk для сброса пароля.,0.45,0.312,0.033,0.13,0.000364,2026-05-12T18:39:25.252427
10,test_2619,Как создать правило сортировки писем?,"В Outlook для создания правила сортировки писем выполните следующие шаги: Главная → Правила → Создать правило. Выберите условия (от кого, тема, ключевые слова) и действия (переместить в папку, пометить, переслать).",0.6,0.5,0.039,0.135,0.000464,2026-05-12T18:39:26.208041
10,test_2620,Как подключить корпоративную почту на телефон?,"Чтобы подключить корпоративную почту на телефон, выполните следующие шаги:

1. Откройте приложение почты и добавьте новую учётную запись.
2. Выберите Exchange или Office 365, введите email и пароль.
3. Разрешите настройку устройства, если требуется. Почта начнёт синхронизироваться.
4. Настройте уведомления.",0.297,0.121,0.056,0.151,0.000212,2026-05-12T18:39:27.643680
10,test_2621,Потерял корпоративный телефон.,Немедленно сообщите в Service Desk и службу безопасности! Они заблокируют устройство удалённо. Смените пароли и проверьте последние действия с устройства.,0.296,0.12,0.016,0.115,0.0003,2026-05-12T18:39:28.455327
10,test_2210,Как защитить телефон от взлома?,"Чтобы защитить телефон от взлома, выполните следующие действия: установите PIN-код или биометрическую защиту, не устанавливайте приложения из неизвестных источников, регулярно обновляйте операционную систему и используйте антивирус.",0.569,0.462,0.058,0.152,0.000189,2026-05-12T18:39:29.396448
10,test_2622,Телефон не синхронизирует контакты.,"Проверьте настройки синхронизации в учётной записи Exchange, убедитесь, что синхронизация контактов включена. Если это не помогло, попробуйте переподключить учётную запись.",0.302,0.127,0.031,0.128,0.00046,2026-05-12T18:39:30.256496
10,test_2623,Не видны другие компьютеры в сети.,"Проверьте, что все ПК находятся в одной рабочей группе. Включите обнаружение сети и общий доступ к файлам в Центре управления сетями.",0.449,0.311,0.038,0.134,0.000331,2026-05-12T18:39:31.182087
10,test_2220,Как сообщить о проблеме с безопасностью?,Используйте форму «Сообщить об инциденте безопасности» на портале Service Desk или позвоните на горячую линию IT-безопасности.,0.893,0.867,0.072,0.165,0.000446,2026-05-12T18:39:31.938551
10,test_2624,Медленный интернет.,"Проверьте скорость интернета через speedtest.net. Закройте программы, использующие трафик (торренты, обновления). Проверьте, не перегружена ли сеть в офисе.",0.467,0.333,0.006,0.106,0.000428,2026-05-12T18:39:32.781357
10,test_2625,Как настроить общий доступ к папке в сети?,"Правой кнопкой мыши нажмите на папку, выберите «Свойства», затем «Доступ», «Расширенная настройка» и «Открыть общий доступ». Настройте разрешения для пользователей.",0.331,0.164,0.093,0.184,0.000859,2026-05-12T18:39:33.733095
10,test_2241,"Не открывается сайт, ошибка 404.","Проверьте правильность URL. Очистите кэш браузера. Попробуйте открыть сайт в другом браузере. Если сайт недоступен у всех — возможно, он удалён или перемещён.",0.745,0.682,0.032,0.129,0.00046,2026-05-12T18:39:34.533517
10,test_2626,Какие часы работы IT-поддержки?,IT-поддержка работает с 9:00 до 18:00 в рабочие дни. В экстренных случаях доступна горячая линия 24/7. Номер указан на портале Service Desk.,0.458,0.323,0.008,0.107,0.000177,2026-05-12T18:39:35.465580
10,test_2627,Можно ли хранить рабочие файлы в личном облаке?,"Нет, хранение корпоративных данных в личных облачных хранилищах запрещено. Используйте только корпоративные ресурсы (OneDrive, SharePoint).",0.44,0.3,0.046,0.141,0.000326,2026-05-12T18:39:36.173871
10,test_2300,Как решить проблему с замена картриджа?,По вопросу замены картриджа обратитесь в Service Desk или изучите инструкцию в разделе «Принтеры» корпоративной базы знаний. Для срочных вопросов звоните на горячую линию IT-поддержки.,0.9,0.875,0.101,0.191,0.000217,2026-05-12T18:39:37.287679
10,test_2302,Как решить проблему с настройка сканирования?,По вопросу настройки сканирования обратитесь в Service Desk или изучите инструкцию в разделе «Принтеры» корпоративной базы знаний. Для срочных вопросов звоните на горячую линию IT-поддержки.,0.9,0.875,0.072,0.165,0.00015,2026-05-12T18:39:38.073225
10,test_2628,Какие устройства разрешены для работы?,"Только устройства, одобренные IT-отделом и соответствующие требованиям безопасности, разрешены для работы. Список таких устройств доступен на корпоративном портале.",0.4,0.25,0.031,0.128,0.000837,2026-05-12T18:39:38.822919
10,test_2629,Печать идет медленно.,"Уменьшите качество печати в свойствах принтера (выберите «Черновик» вместо «Высокого качества»). Проверьте, не печатает ли кто-то другой большие документы. Обновите драйвер принтера.",0.448,0.31,0.005,0.104,0.000203,2026-05-12T18:39:39.659465
10,test_2304,Как решить проблему с сетевая печать?,"По вопросу «Сетевая печать» обратитесь в Service Desk или изучите инструкцию в разделе «Принтеры» корпоративной базы знаний. Для срочных вопросов звоните на горячую линию IT-поддержки.

Также при проблемах с сетевой печатью выполните базовую диагностику: перезапустите приложение/устройство, проверьте подключение. Если не помогло — создайте заявку в Service Desk с подробным описанием проблемы.",0.565,0.457,0.1,0.19,0.000331,2026-05-12T18:39:40.915740
10,test_2630,Ошибка 'Driver unavailable' при печати.,"Скачайте актуальный драйвер с сайта производителя принтера. Удалите старый драйвер через Диспетчер устройств, затем установите новый.",0.414,0.268,0.017,0.116,0.00031,2026-05-12T18:39:41.578112
