top_k,question_id,question,answer,faithfulness,answer_relevance,context_precision,context_recall,evaluation_time,timestamp
3,test_2622,Телефон не синхронизирует контакты.,Ответ на вопрос с top_k=3: Телефон не синхронизирует контакты.,0.229,0.036,0.5,0.55,2.6e-05,2026-05-12T18:09:11.758240
3,test_2623,Не видны другие компьютеры в сети.,Ответ на вопрос с top_k=3: Не видны другие компьютеры в сети.,0.226,0.033,0.6,0.64,3.1e-05,2026-05-12T18:09:11.758291
3,test_2220,Как сообщить о проблеме с безопасностью?,Ответ на вопрос с top_k=3: Как сообщить о проблеме с безопасностью?,0.253,0.067,0.6,0.64,1.8e-05,2026-05-12T18:09:11.758351
3,test_2624,Медленный интернет.,Ответ на вопрос с top_k=3: Медленный интернет.,0.2,0.0,0.333,0.4,2.6e-05,2026-05-12T18:09:11.758393
3,test_2625,Как настроить общий доступ к папке в сети?,Ответ на вопрос с top_k=3: Как настроить общий доступ к папке в сети?,0.273,0.091,0.667,0.7,3e-05,2026-05-12T18:09:11.758450
3,test_2241,"Не открывается сайт, ошибка 404.","Ответ на вопрос с top_k=3: Не открывается сайт, ошибка 404.",0.2,0.0,0.556,0.6,2.5e-05,2026-05-12T18:09:11.758506
3,test_2626,Какие часы работы IT-поддержки?,Ответ на вопрос с top_k=3: Какие часы работы IT-поддержки?,0.225,0.031,0.5,0.55,2.8e-05,2026-05-12T18:09:11.758561
3,test_2627,Можно ли хранить рабочие файлы в личном облаке?,Ответ на вопрос с top_k=3: Можно ли хранить рабочие файлы в личном облаке?,0.216,0.02,0.667,0.7,2.8e-05,2026-05-12T18:09:11.758618
3,test_2300,Как решить проблему с замена картриджа?,Ответ на вопрос с top_k=3: Как решить проблему с замена картриджа?,0.233,0.042,0.6,0.64,2.2e-05,2026-05-12T18:09:11.758674
3,test_2302,Как решить проблему с настройка сканирования?,Ответ на вопрос с top_k=3: Как решить проблему с настройка сканирования?,0.233,0.042,0.6,0.64,2.3e-05,2026-05-12T18:09:11.758760
3,test_2628,Какие устройства разрешены для работы?,Ответ на вопрос с top_k=3: Какие устройства разрешены для работы?,0.233,0.042,0.556,0.6,2.7e-05,2026-05-12T18:09:11.758811
3,test_2629,Печать идет медленно.,Ответ на вопрос с top_k=3: Печать идет медленно.,0.2,0.0,0.429,0.486,2.7e-05,2026-05-12T18:09:11.758870
3,test_2304,Как решить проблему с сетевая печать?,Ответ на вопрос с top_k=3: Как решить проблему с сетевая печать?,0.233,0.042,0.6,0.64,2.2e-05,2026-05-12T18:09:11.758937
3,test_2630,Ошибка 'Driver unavailable' при печати.,Ответ на вопрос с top_k=3: Ошибка 'Driver unavailable' при печати.,0.243,0.054,0.556,0.6,2.7e-05,2026-05-12T18:09:11.758990
3,test_2631,Почему нужно менять пароль раз в 90 дней?,Ответ на вопрос с top_k=3: Почему нужно менять пароль раз в 90 дней?,0.215,0.019,0.667,0.7,3e-05,2026-05-12T18:09:11.759043
3,test_2632,"Получил подозрительное письмо, что делать?","Ответ на вопрос с top_k=3: Получил подозрительное письмо, что делать?",0.23,0.037,0.556,0.6,2.7e-05,2026-05-12T18:09:11.759102
3,test_2305,"Не работает сетевая печать, что делать?","Ответ на вопрос с top_k=3: Не работает сетевая печать, что делать?",0.267,0.083,0.6,0.64,2.1e-05,2026-05-12T18:09:11.759154
3,test_2596,Сколько места нужно для Windows?,Ответ на вопрос с top_k=3: Сколько места нужно для Windows?,0.2,0.0,0.556,0.6,2e-05,2026-05-12T18:09:11.759201
3,test_2633,Как проверить компьютер на вирусы?,Ответ на вопрос с top_k=3: Как проверить компьютер на вирусы?,0.221,0.026,0.556,0.6,2.5e-05,2026-05-12T18:09:11.759250
3,test_2634,Ошибка 'Missing DLL' при запуске.,Ответ на вопрос с top_k=3: Ошибка 'Missing DLL' при запуске.,0.218,0.022,0.556,0.6,2.6e-05,2026-05-12T18:09:11.759304
3,test_2307,"Не работает двусторонняя печать, что делать?","Ответ на вопрос с top_k=3: Не работает двусторонняя печать, что делать?",0.267,0.083,0.6,0.64,2.1e-05,2026-05-12T18:09:11.759354
3,test_2635,Программа работает очень медленно.,Ответ на вопрос с top_k=3: Программа работает очень медленно.,0.229,0.036,0.5,0.55,2.7e-05,2026-05-12T18:09:11.759398
3,test_2636,Программа не сохраняет файлы.,Ответ на вопрос с top_k=3: Программа не сохраняет файлы.,0.222,0.028,0.5,0.55,2.2e-05,2026-05-12T18:09:11.759453
3,test_2637,Компьютер медленно загружается.,Ответ на вопрос с top_k=3: Компьютер медленно загружается.,0.225,0.031,0.429,0.486,3.4e-05,2026-05-12T18:09:11.759499
3,test_2638,Не работает звук на компьютере.,Ответ на вопрос с top_k=3: Не работает звук на компьютере.,0.215,0.019,0.556,0.6,2.8e-05,2026-05-12T18:09:11.759563
3,test_2309,"Не работает цветная печать, что делать?","Ответ на вопрос с top_k=3: Не работает цветная печать, что делать?",0.267,0.083,0.6,0.64,2.1e-05,2026-05-12T18:09:11.759619
3,test_2639,Потерялись файлы с рабочего стола.,Ответ на вопрос с top_k=3: Потерялись файлы с рабочего стола.,0.2,0.0,0.556,0.6,2.6e-05,2026-05-12T18:09:11.759665
3,test_2310,Как решить проблему с настройка vpn?,Ответ на вопрос с top_k=3: Как решить проблему с настройка vpn?,0.233,0.042,0.6,0.64,2e-05,2026-05-12T18:09:11.759718
3,test_2313,"Не работает подключение к wi-fi, что делать?","Ответ на вопрос с top_k=3: Не работает подключение к wi-fi, что делать?",0.296,0.12,0.636,0.673,2.5e-05,2026-05-12T18:09:11.759762
3,test_2315,"Не работает общий доступ к файлам, что делать?","Ответ на вопрос с top_k=3: Не работает общий доступ к файлам, что делать?",0.323,0.154,0.667,0.7,2.2e-05,2026-05-12T18:09:11.759812
3,test_2319,"Не работает dns настройки, что делать?","Ответ на вопрос с top_k=3: Не работает dns настройки, что делать?",0.267,0.083,0.6,0.64,2e-05,2026-05-12T18:09:11.759859
3,test_2320,Как решить проблему с статический ip?,Ответ на вопрос с top_k=3: Как решить проблему с статический ip?,0.233,0.042,0.6,0.64,2.8e-05,2026-05-12T18:09:11.759910
3,test_2323,"Не работает настройка outlook, что делать?","Ответ на вопрос с top_k=3: Не работает настройка outlook, что делать?",0.267,0.083,0.6,0.64,2.1e-05,2026-05-12T18:09:11.759962
3,test_2325,"Не работает правила сортировки, что делать?","Ответ на вопрос с top_k=3: Не работает правила сортировки, что делать?",0.267,0.083,0.6,0.64,2e-05,2026-05-12T18:09:11.760006
5,test_2190,"Windows зависает, что делать?","Ответ на вопрос с top_k=5: Windows зависает, что делать?",0.2,0.0,0.5,0.55,2.2e-05,2026-05-12T18:09:11.760067
5,test_2608,Как безопасно удалить файлы?,Ответ на вопрос с top_k=5: Как безопасно удалить файлы?,0.229,0.036,0.5,0.55,3e-05,2026-05-12T18:09:11.760118
5,test_2609,Как заказать новое оборудование?,Ответ на вопрос с top_k=5: Как заказать новое оборудование?,0.233,0.041,0.5,0.55,2.9e-05,2026-05-12T18:09:11.760174
5,test_2610,Как создать общую папку для отдела?,Ответ на вопрос с top_k=5: Как создать общую папку для отдела?,0.245,0.057,0.6,0.64,3.3e-05,2026-05-12T18:09:11.760231
5,test_2611,Не открывается PDF-файл.,Ответ на вопрос с top_k=5: Не открывается PDF-файл.,0.216,0.02,0.429,0.486,2.7e-05,2026-05-12T18:09:11.760288
5,test_2612,Не работает копирование/вставка.,Ответ на вопрос с top_k=5: Не работает копирование/вставка.,0.231,0.039,0.429,0.486,2.9e-05,2026-05-12T18:09:11.760346
5,test_2613,Как очистить историю браузера?,Ответ на вопрос с top_k=5: Как очистить историю браузера?,0.245,0.057,0.5,0.55,2.9e-05,2026-05-12T18:09:11.760399
5,test_2614,Не печатается PDF-файл.,Ответ на вопрос с top_k=5: Не печатается PDF-файл.,0.232,0.04,0.429,0.486,3e-05,2026-05-12T18:09:11.760457
5,test_2615,Экран стал черным после обновления.,Ответ на вопрос с top_k=5: Экран стал черным после обновления.,0.23,0.038,0.556,0.6,3.9e-05,2026-05-12T18:09:11.760512
5,test_2616,CRM работает медленно.,Ответ на вопрос с top_k=5: CRM работает медленно.,0.226,0.032,0.429,0.486,3e-05,2026-05-12T18:09:11.760580
5,test_2617,Как экспортировать данные из CRM?,Ответ на вопрос с top_k=5: Как экспортировать данные из CRM?,0.247,0.059,0.556,0.6,3.1e-05,2026-05-12T18:09:11.760637
5,test_2618,Забыл пароль от CRM.,Ответ на вопрос с top_k=5: Забыл пароль от CRM.,0.25,0.062,0.5,0.55,2.8e-05,2026-05-12T18:09:11.760697
5,test_2619,Как создать правило сортировки писем?,Ответ на вопрос с top_k=5: Как создать правило сортировки писем?,0.22,0.025,0.556,0.6,2.8e-05,2026-05-12T18:09:11.760757
5,test_2620,Как подключить корпоративную почту на телефон?,Ответ на вопрос с top_k=5: Как подключить корпоративную почту на телефон?,0.241,0.052,0.6,0.64,3.3e-05,2026-05-12T18:09:11.760811
5,test_2621,Потерял корпоративный телефон.,Ответ на вопрос с top_k=5: Потерял корпоративный телефон.,0.216,0.02,0.429,0.486,2.8e-05,2026-05-12T18:09:11.760878
5,test_2210,Как защитить телефон от взлома?,Ответ на вопрос с top_k=5: Как защитить телефон от взлома?,0.2,0.0,0.556,0.6,2.2e-05,2026-05-12T18:09:11.760947
5,test_2622,Телефон не синхронизирует контакты.,Ответ на вопрос с top_k=5: Телефон не синхронизирует контакты.,0.229,0.036,0.5,0.55,3e-05,2026-05-12T18:09:11.760994
5,test_2623,Не видны другие компьютеры в сети.,Ответ на вопрос с top_k=5: Не видны другие компьютеры в сети.,0.226,0.033,0.6,0.64,3.6e-05,2026-05-12T18:09:11.761053
5,test_2220,Как сообщить о проблеме с безопасностью?,Ответ на вопрос с top_k=5: Как сообщить о проблеме с безопасностью?,0.253,0.067,0.6,0.64,2.3e-05,2026-05-12T18:09:11.761118
5,test_2624,Медленный интернет.,Ответ на вопрос с top_k=5: Медленный интернет.,0.2,0.0,0.333,0.4,2.9e-05,2026-05-12T18:09:11.761170
5,test_2625,Как настроить общий доступ к папке в сети?,Ответ на вопрос с top_k=5: Как настроить общий доступ к папке в сети?,0.273,0.091,0.667,0.7,3.8e-05,2026-05-12T18:09:11.761223
5,test_2241,"Не открывается сайт, ошибка 404.","Ответ на вопрос с top_k=5: Не открывается сайт, ошибка 404.",0.2,0.0,0.556,0.6,2.3e-05,2026-05-12T18:09:11.761293
5,test_2626,Какие часы работы IT-поддержки?,Ответ на вопрос с top_k=5: Какие часы работы IT-поддержки?,0.225,0.031,0.5,0.55,3.1e-05,2026-05-12T18:09:11.761342
5,test_2627,Можно ли хранить рабочие файлы в личном облаке?,Ответ на вопрос с top_k=5: Можно ли хранить рабочие файлы в личном облаке?,0.216,0.02,0.667,0.7,3.6e-05,2026-05-12T18:09:11.761402
5,test_2300,Как решить проблему с замена картриджа?,Ответ на вопрос с top_k=5: Как решить проблему с замена картриджа?,0.233,0.042,0.6,0.64,2.5e-05,2026-05-12T18:09:11.761467
5,test_2302,Как решить проблему с настройка сканирования?,Ответ на вопрос с top_k=5: Как решить проблему с настройка сканирования?,0.233,0.042,0.6,0.64,3.4e-05,2026-05-12T18:09:11.761520
5,test_2628,Какие устройства разрешены для работы?,Ответ на вопрос с top_k=5: Какие устройства разрешены для работы?,0.233,0.042,0.556,0.6,4e-05,2026-05-12T18:09:11.761590
5,test_2629,Печать идет медленно.,Ответ на вопрос с top_k=5: Печать идет медленно.,0.2,0.0,0.429,0.486,2.9e-05,2026-05-12T18:09:11.761660
5,test_2304,Как решить проблему с сетевая печать?,Ответ на вопрос с top_k=5: Как решить проблему с сетевая печать?,0.233,0.042,0.6,0.64,2.5e-05,2026-05-12T18:09:11.761714
5,test_2630,Ошибка 'Driver unavailable' при печати.,Ответ на вопрос с top_k=5: Ошибка 'Driver unavailable' при печати.,0.243,0.054,0.556,0.6,3.5e-05,2026-05-12T18:09:11.761765
5,test_2631,Почему нужно менять пароль раз в 90 дней?,Ответ на вопрос с top_k=5: Почему нужно менять пароль раз в 90 дней?,0.215,0.019,0.667,0.7,3.4e-05,2026-05-12T18:09:11.761829
5,test_2632,"Получил подозрительное письмо, что делать?","Ответ на вопрос с top_k=5: Получил подозрительное письмо, что делать?",0.23,0.037,0.556,0.6,4e-05,2026-05-12T18:09:11.761893
5,test_2305,"Не работает сетевая печать, что делать?","Ответ на вопрос с top_k=5: Не работает сетевая печать, что делать?",0.267,0.083,0.6,0.64,2.6e-05,2026-05-12T18:09:11.761963
5,test_2596,Сколько места нужно для Windows?,Ответ на вопрос с top_k=5: Сколько места нужно для Windows?,0.2,0.0,0.556,0.6,2.4e-05,2026-05-12T18:09:11.762017
5,test_2633,Как проверить компьютер на вирусы?,Ответ на вопрос с top_k=5: Как проверить компьютер на вирусы?,0.221,0.026,0.556,0.6,3.2e-05,2026-05-12T18:09:11.762069
5,test_2634,Ошибка 'Missing DLL' при запуске.,Ответ на вопрос с top_k=5: Ошибка 'Missing DLL' при запуске.,0.218,0.022,0.556,0.6,3.1e-05,2026-05-12T18:09:11.762127
5,test_2307,"Не работает двусторонняя печать, что делать?","Ответ на вопрос с top_k=5: Не работает двусторонняя печать, что делать?",0.267,0.083,0.6,0.64,2.5e-05,2026-05-12T18:09:11.762182
5,test_2635,Программа работает очень медленно.,Ответ на вопрос с top_k=5: Программа работает очень медленно.,0.229,0.036,0.5,0.55,3e-05,2026-05-12T18:09:11.762231
5,test_2636,Программа не сохраняет файлы.,Ответ на вопрос с top_k=5: Программа не сохраняет файлы.,0.222,0.028,0.5,0.55,2.6e-05,2026-05-12T18:09:11.762284
5,test_2637,Компьютер медленно загружается.,Ответ на вопрос с top_k=5: Компьютер медленно загружается.,0.225,0.031,0.429,0.486,3e-05,2026-05-12T18:09:11.762333
5,test_2638,Не работает звук на компьютере.,Ответ на вопрос с top_k=5: Не работает звук на компьютере.,0.215,0.019,0.556,0.6,3.4e-05,2026-05-12T18:09:11.762387
5,test_2309,"Не работает цветная печать, что делать?","Ответ на вопрос с top_k=5: Не работает цветная печать, что делать?",0.267,0.083,0.6,0.64,2.5e-05,2026-05-12T18:09:11.762448
5,test_2639,Потерялись файлы с рабочего стола.,Ответ на вопрос с top_k=5: Потерялись файлы с рабочего стола.,0.2,0.0,0.556,0.6,3.1e-05,2026-05-12T18:09:11.762496
5,test_2310,Как решить проблему с настройка vpn?,Ответ на вопрос с top_k=5: Как решить проблему с настройка vpn?,0.233,0.042,0.6,0.64,2.5e-05,2026-05-12T18:09:11.762556
5,test_2313,"Не работает подключение к wi-fi, что делать?","Ответ на вопрос с top_k=5: Не работает подключение к wi-fi, что делать?",0.296,0.12,0.636,0.673,2.9e-05,2026-05-12T18:09:11.762604
5,test_2315,"Не работает общий доступ к файлам, что делать?","Ответ на вопрос с top_k=5: Не работает общий доступ к файлам, что делать?",0.323,0.154,0.667,0.7,3e-05,2026-05-12T18:09:11.762659
5,test_2319,"Не работает dns настройки, что делать?","Ответ на вопрос с top_k=5: Не работает dns настройки, что делать?",0.267,0.083,0.6,0.64,2.3e-05,2026-05-12T18:09:11.762714
5,test_2320,Как решить проблему с статический ip?,Ответ на вопрос с top_k=5: Как решить проблему с статический ip?,0.233,0.042,0.6,0.64,2.4e-05,2026-05-12T18:09:11.762764
5,test_2323,"Не работает настройка outlook, что делать?","Ответ на вопрос с top_k=5: Не работает настройка outlook, что делать?",0.267,0.083,0.6,0.64,2.5e-05,2026-05-12T18:09:11.762812
5,test_2325,"Не работает правила сортировки, что делать?","Ответ на вопрос с top_k=5: Не работает правила сортировки, что делать?",0.267,0.083,0.6,0.64,2.4e-05,2026-05-12T18:09:11.762860
10,test_2190,"Windows зависает, что делать?","Ответ на вопрос с top_k=10: Windows зависает, что делать?",0.2,0.0,0.5,0.55,8.3e-05,2026-05-12T18:09:11.762921
10,test_2608,Как безопасно удалить файлы?,Ответ на вопрос с top_k=10: Как безопасно удалить файлы?,0.229,0.036,0.5,0.55,4e-05,2026-05-12T18:09:11.763042
10,test_2609,Как заказать новое оборудование?,Ответ на вопрос с top_k=10: Как заказать новое оборудование?,0.233,0.041,0.5,0.55,3.8e-05,2026-05-12T18:09:11.763113
10,test_2610,Как создать общую папку для отдела?,Ответ на вопрос с top_k=10: Как создать общую папку для отдела?,0.245,0.057,0.6,0.64,4.9e-05,2026-05-12T18:09:11.763240
10,test_2611,Не открывается PDF-файл.,Ответ на вопрос с top_k=10: Не открывается PDF-файл.,0.216,0.02,0.429,0.486,3.7e-05,2026-05-12T18:09:11.763321
10,test_2612,Не работает копирование/вставка.,Ответ на вопрос с top_k=10: Не работает копирование/вставка.,0.231,0.039,0.429,0.486,3.7e-05,2026-05-12T18:09:11.763388
10,test_2613,Как очистить историю браузера?,Ответ на вопрос с top_k=10: Как очистить историю браузера?,0.245,0.057,0.5,0.55,3.9e-05,2026-05-12T18:09:11.763459
10,test_2614,Не печатается PDF-файл.,Ответ на вопрос с top_k=10: Не печатается PDF-файл.,0.232,0.04,0.429,0.486,3.8e-05,2026-05-12T18:09:11.763536
10,test_2615,Экран стал черным после обновления.,Ответ на вопрос с top_k=10: Экран стал черным после обновления.,0.23,0.038,0.556,0.6,4.2e-05,2026-05-12T18:09:11.763605
10,test_2616,CRM работает медленно.,Ответ на вопрос с top_k=10: CRM работает медленно.,0.226,0.032,0.429,0.486,3.7e-05,2026-05-12T18:09:11.763678
10,test_2617,Как экспортировать данные из CRM?,Ответ на вопрос с top_k=10: Как экспортировать данные из CRM?,0.247,0.059,0.556,0.6,4.2e-05,2026-05-12T18:09:11.763743
10,test_2618,Забыл пароль от CRM.,Ответ на вопрос с top_k=10: Забыл пароль от CRM.,0.25,0.062,0.5,0.55,4e-05,2026-05-12T18:09:11.763815
10,test_2619,Как создать правило сортировки писем?,Ответ на вопрос с top_k=10: Как создать правило сортировки писем?,0.22,0.025,0.556,0.6,4.8e-05,2026-05-12T18:09:11.763886
10,test_2620,Как подключить корпоративную почту на телефон?,Ответ на вопрос с top_k=10: Как подключить корпоративную почту на телефон?,0.241,0.052,0.6,0.64,4.9e-05,2026-05-12T18:09:11.763963
10,test_2621,Потерял корпоративный телефон.,Ответ на вопрос с top_k=10: Потерял корпоративный телефон.,0.216,0.02,0.429,0.486,3.8e-05,2026-05-12T18:09:11.764040
10,test_2210,Как защитить телефон от взлома?,Ответ на вопрос с top_k=10: Как защитить телефон от взлома?,0.2,0.0,0.556,0.6,3.5e-05,2026-05-12T18:09:11.764105
10,test_2622,Телефон не синхронизирует контакты.,Ответ на вопрос с top_k=10: Телефон не синхронизирует контакты.,0.229,0.036,0.5,0.55,4e-05,2026-05-12T18:09:11.764192
10,test_2623,Не видны другие компьютеры в сети.,Ответ на вопрос с top_k=10: Не видны другие компьютеры в сети.,0.226,0.033,0.6,0.64,4.9e-05,2026-05-12T18:09:11.764294
10,test_2220,Как сообщить о проблеме с безопасностью?,Ответ на вопрос с top_k=10: Как сообщить о проблеме с безопасностью?,0.253,0.067,0.6,0.64,3.8e-05,2026-05-12T18:09:11.764376
10,test_2624,Медленный интернет.,Ответ на вопрос с top_k=10: Медленный интернет.,0.2,0.0,0.333,0.4,3.8e-05,2026-05-12T18:09:11.764472
10,test_2625,Как настроить общий доступ к папке в сети?,Ответ на вопрос с top_k=10: Как настроить общий доступ к папке в сети?,0.273,0.091,0.667,0.7,7.4e-05,2026-05-12T18:09:11.764553
10,test_2241,"Не открывается сайт, ошибка 404.","Ответ на вопрос с top_k=10: Не открывается сайт, ошибка 404.",0.2,0.0,0.556,0.6,5.2e-05,2026-05-12T18:09:11.764685
10,test_2626,Какие часы работы IT-поддержки?,Ответ на вопрос с top_k=10: Какие часы работы IT-поддержки?,0.225,0.031,0.5,0.55,7.1e-05,2026-05-12T18:09:11.764835
10,test_2627,Можно ли хранить рабочие файлы в личном облаке?,Ответ на вопрос с top_k=10: Можно ли хранить рабочие файлы в личном облаке?,0.216,0.02,0.667,0.7,5e-05,2026-05-12T18:09:11.764971
10,test_2300,Как решить проблему с замена картриджа?,Ответ на вопрос с top_k=10: Как решить проблему с замена картриджа?,0.233,0.042,0.6,0.64,3.7e-05,2026-05-12T18:09:11.765054
10,test_2302,Как решить проблему с настройка сканирования?,Ответ на вопрос с top_k=10: Как решить проблему с настройка сканирования?,0.233,0.042,0.6,0.64,3.5e-05,2026-05-12T18:09:11.765122
10,test_2628,Какие устройства разрешены для работы?,Ответ на вопрос с top_k=10: Какие устройства разрешены для работы?,0.233,0.042,0.556,0.6,4.2e-05,2026-05-12T18:09:11.765194
10,test_2629,Печать идет медленно.,Ответ на вопрос с top_k=10: Печать идет медленно.,0.2,0.0,0.429,0.486,3.7e-05,2026-05-12T18:09:11.765267
10,test_2304,Как решить проблему с сетевая печать?,Ответ на вопрос с top_k=10: Как решить проблему с сетевая печать?,0.233,0.042,0.6,0.64,3.6e-05,2026-05-12T18:09:11.765330
10,test_2630,Ошибка 'Driver unavailable' при печати.,Ответ на вопрос с top_k=10: Ошибка 'Driver unavailable' при печати.,0.243,0.054,0.556,0.6,4.2e-05,2026-05-12T18:09:11.765398
10,test_2631,Почему нужно менять пароль раз в 90 дней?,Ответ на вопрос с top_k=10: Почему нужно менять пароль раз в 90 дней?,0.215,0.019,0.667,0.7,4.6e-05,2026-05-12T18:09:11.765470
10,test_2632,"Получил подозрительное письмо, что делать?","Ответ на вопрос с top_k=10: Получил подозрительное письмо, что делать?",0.23,0.037,0.556,0.6,4.3e-05,2026-05-12T18:09:11.765548
10,test_2305,"Не работает сетевая печать, что делать?","Ответ на вопрос с top_k=10: Не работает сетевая печать, что делать?",0.267,0.083,0.6,0.64,3.8e-05,2026-05-12T18:09:11.765622
10,test_2596,Сколько места нужно для Windows?,Ответ на вопрос с top_k=10: Сколько места нужно для Windows?,0.2,0.0,0.556,0.6,3.5e-05,2026-05-12T18:09:11.765693
10,test_2633,Как проверить компьютер на вирусы?,Ответ на вопрос с top_k=10: Как проверить компьютер на вирусы?,0.221,0.026,0.556,0.6,3.9e-05,2026-05-12T18:09:11.765759
10,test_2634,Ошибка 'Missing DLL' при запуске.,Ответ на вопрос с top_k=10: Ошибка 'Missing DLL' при запуске.,0.218,0.022,0.556,0.6,4.7e-05,2026-05-12T18:09:11.765827
10,test_2307,"Не работает двусторонняя печать, что делать?","Ответ на вопрос с top_k=10: Не работает двусторонняя печать, что делать?",0.267,0.083,0.6,0.64,3.9e-05,2026-05-12T18:09:11.765956
10,test_2635,Программа работает очень медленно.,Ответ на вопрос с top_k=10: Программа работает очень медленно.,0.229,0.036,0.5,0.55,4e-05,2026-05-12T18:09:11.766027
10,test_2636,Программа не сохраняет файлы.,Ответ на вопрос с top_k=10: Программа не сохраняет файлы.,0.222,0.028,0.5,0.55,3.8e-05,2026-05-12T18:09:11.766097
10,test_2637,Компьютер медленно загружается.,Ответ на вопрос с top_k=10: Компьютер медленно загружается.,0.225,0.031,0.429,0.486,4.3e-05,2026-05-12T18:09:11.766165
10,test_2638,Не работает звук на компьютере.,Ответ на вопрос с top_k=10: Не работает звук на компьютере.,0.215,0.019,0.556,0.6,4.2e-05,2026-05-12T18:09:11.766237
10,test_2309,"Не работает цветная печать, что делать?","Ответ на вопрос с top_k=10: Не работает цветная печать, что делать?",0.267,0.083,0.6,0.64,3.5e-05,2026-05-12T18:09:11.766308
10,test_2639,Потерялись файлы с рабочего стола.,Ответ на вопрос с top_k=10: Потерялись файлы с рабочего стола.,0.2,0.0,0.556,0.6,4.1e-05,2026-05-12T18:09:11.766377
10,test_2310,Как решить проблему с настройка vpn?,Ответ на вопрос с top_k=10: Как решить проблему с настройка vpn?,0.233,0.042,0.6,0.64,3.5e-05,2026-05-12T18:09:11.766448
10,test_2313,"Не работает подключение к wi-fi, что делать?","Ответ на вопрос с top_k=10: Не работает подключение к wi-fi, что делать?",0.296,0.12,0.636,0.673,3.8e-05,2026-05-12T18:09:11.766515
10,test_2315,"Не работает общий доступ к файлам, что делать?","Ответ на вопрос с top_k=10: Не работает общий доступ к файлам, что делать?",0.323,0.154,0.667,0.7,4.1e-05,2026-05-12T18:09:11.766583
10,test_2319,"Не работает dns настройки, что делать?","Ответ на вопрос с top_k=10: Не работает dns настройки, что делать?",0.267,0.083,0.6,0.64,3.5e-05,2026-05-12T18:09:11.766653
10,test_2320,Как решить проблему с статический ip?,Ответ на вопрос с top_k=10: Как решить проблему с статический ip?,0.233,0.042,0.6,0.64,3.5e-05,2026-05-12T18:09:11.766720
10,test_2323,"Не работает настройка outlook, что делать?","Ответ на вопрос с top_k=10: Не работает настройка outlook, что делать?",0.267,0.083,0.6,0.64,3.5e-05,2026-05-12T18:09:11.766786
10,test_2325,"Не работает правила сортировки, что делать?","Ответ на вопрос с top_k=10: Не работает правила сортировки, что делать?",0.267,0.083,0.6,0.64,3.5e-05,2026-05-12T18:09:11.766853
